Statement,Speaker,Rating,Date,BinaryTarget
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-08-07,0
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,Low,2025-08-28,1
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2025-02-26,1
Scholarships and financial aid allow talented students to pursue higher studies.,Arun Patel,High,2025-08-11,1
"Education should focus on creativity and critical thinking, not just memorization.",Prof. Rajesh Kumar,High,2025-05-12,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,Medium,2025-08-23,0
Vocational training helps students develop practical skills for real-world jobs.,Kiran Bhatia,Low,2025-05-05,0
Teachers play a key role in shaping the minds and values of future generations.,Prof. Rajesh Kumar,High,2024-11-20,1
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2024-12-22,1
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Medium,2024-11-08,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Neha Verma,Low,2025-03-17,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,High,2025-02-24,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2024-11-19,0
Online learning has made education accessible to students in remote areas.,Anita Desai,High,2025-01-01,1
Vocational training helps students develop practical skills for real-world jobs.,Vikas Menon,High,2024-12-20,0
Students learn better when education is connected to real-life applications.,Sandeep Reddy,High,2024-10-08,0
Students learn better when education is connected to real-life applications.,Anita Desai,High,2024-12-07,0
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,High,2024-11-12,0
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Medium,2024-12-20,1
The use of artificial intelligence is transforming modern education systems.,Vikas Menon,Low,2025-02-23,1
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,High,2025-07-30,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,High,2025-02-24,1
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,High,2025-03-19,1
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Low,2025-03-31,1
Modern classrooms are adopting smart boards and interactive learning tools.,Mohit Agarwal,High,2025-01-15,0
Online learning has made education accessible to students in remote areas.,Vikas Menon,Medium,2025-04-08,1
Digital libraries have replaced traditional ones in many universities.,Arun Patel,Low,2025-01-17,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Meera Sharma,Medium,2024-11-13,0
Digital libraries have replaced traditional ones in many universities.,Arun Patel,Low,2025-01-17,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2024-12-25,0
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Medium,2025-07-02,0
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,Medium,2024-12-07,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2025-07-02,1
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2025-02-12,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Medium,2025-01-13,0
Digital libraries have replaced traditional ones in many universities.,Arun Patel,High,2024-11-26,0
Modern classrooms are adopting smart boards and interactive learning tools.,Vikas Menon,High,2025-05-23,1
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,High,2025-05-22,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2024-10-31,0
Modern classrooms are adopting smart boards and interactive learning tools.,Mohit Agarwal,High,2025-04-30,0
Online learning has made education accessible to students in remote areas.,Arun Patel,Low,2025-04-12,1
The use of artificial intelligence is transforming modern education systems.,Anita Desai,High,2025-03-30,1
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,Medium,2025-07-16,0
Scholarships and financial aid allow talented students to pursue higher studies.,Prof. Rajesh Kumar,Medium,2025-04-20,1
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2024-12-18,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Medium,2025-08-16,1
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,Medium,2025-01-28,0
Students learn better when education is connected to real-life applications.,Vikas Menon,Medium,2025-01-29,1
Students learn better when education is connected to real-life applications.,Vikas Menon,Medium,2025-02-18,0
Students learn better when education is connected to real-life applications.,Rita Sahu,Medium,2025-07-03,1
Vocational training helps students develop practical skills for real-world jobs.,Kiran Bhatia,High,2025-06-29,0
Scholarships and financial aid allow talented students to pursue higher studies.,Vikas Menon,Medium,2024-11-23,1
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,Low,2025-09-28,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Meera Sharma,High,2025-05-19,1
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,Medium,2025-04-04,0
Modern classrooms are adopting smart boards and interactive learning tools.,Anita Desai,Medium,2025-06-06,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Meera Sharma,Medium,2024-11-13,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2025-07-30,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Meera Sharma,High,2024-10-31,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Kiran Bhatia,High,2025-09-09,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Low,2025-07-24,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-01-21,0
Students learn better when education is connected to real-life applications.,Vikas Menon,Medium,2024-12-30,1
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Low,2024-11-23,0
Online learning has made education accessible to students in remote areas.,Vikas Menon,Medium,2024-11-10,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,High,2025-09-17,0
Students learn better when education is connected to real-life applications.,Sandeep Reddy,High,2024-10-08,0
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,Medium,2025-01-23,1
Digital libraries have replaced traditional ones in many universities.,Kiran Bhatia,Low,2025-03-01,0
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Medium,2024-12-20,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Low,2025-01-29,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,High,2025-07-04,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,Low,2024-11-14,0
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,Medium,2025-07-26,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Medium,2024-11-11,0
The use of artificial intelligence is transforming modern education systems.,Anita Desai,Medium,2025-04-26,1
"Education should focus on creativity and critical thinking, not just memorization.",Mohit Agarwal,Medium,2025-01-14,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Anita Desai,High,2025-01-26,0
Modern classrooms are adopting smart boards and interactive learning tools.,Vikas Menon,High,2025-08-07,0
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,High,2025-09-07,0
"Education should focus on creativity and critical thinking, not just memorization.",Dr. Meera Sharma,Low,2025-03-07,0
Online learning has made education accessible to students in remote areas.,Rita Sahu,High,2024-10-27,0
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,Low,2025-09-16,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Anita Desai,High,2024-11-20,0
Teachers play a key role in shaping the minds and values of future generations.,Prof. Rajesh Kumar,Medium,2025-06-28,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,High,2024-12-20,0
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Low,2025-05-01,1
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Medium,2025-01-17,1
Teachers play a key role in shaping the minds and values of future generations.,Dr. Neha Verma,Low,2025-04-08,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,High,2025-07-08,1
